1300_1330vwap,935_940vwap,amount,direction,excutointime_13:00_vwap,excutointime_9:35_vwap,instrument,pnl_buy_935-940,pnl_buy_excutointime,pnl_sell_1300-1330,pnl_sell_excutointime,price,tradingday,tradingtime,volume
NaN,84.68452254,16955,BUY,NaN,84.87596059,301155.SZ,-10.68406138,11.89507493,NaN,NaN,84.775,20251117,09:36:09,200
NaN,38.66390361,3889,BUY,NaN,38.787393,301266.SZ,-58.47738185,-26.45369951,NaN,NaN,38.89,20251117,09:36:01,100
NaN,63.17690745,6357,BUY,NaN,63.4641407,301325.SZ,-62.22092322,-16.68017487,NaN,NaN,63.57,20251117,09:36:01,100
NaN,61.5503912,6170,BUY,NaN,61.76,301327.SZ,-24.30671829,9.715025907,NaN,NaN,61.7,20251117,09:35:14,100
NaN,84.49945008,76403,BUY,NaN,84.51351825,301358.SZ,-46.48221228,-44.80986988,NaN,NaN,84.89222222,20251117,09:40:01,900
NaN,33.06986582,19840,BUY,NaN,33.0761626,301511.SZ,0.96739164,2.8709283,NaN,NaN,33.06666667,20251117,09:39:01,600
2.600175707,NaN,2601835.5,SELL,2.602018104,NaN,515700.SH,NaN,NaN,6.383389205,-0.701779359,2.6018355,20251117,14:23:39,1000000
1.630848095,NaN,3266975.7,SELL,1.633909554,NaN,588830.SH,NaN,NaN,16.18639469,-2.580949026,1.63348785,20251117,13:47:41,2000000
NaN,116.0113831,23218,BUY,NaN,116.087686,600563.SH,-6.776649844,-0.199336352,NaN,NaN,116.09,20251117,09:36:05,200
NaN,27.04847613,35174,BUY,NaN,27.04847613,600699.SH,-3.122891993,-3.122891993,NaN,NaN,27.05692308,20251117,09:40:01,1300
NaN,32.42242754,51930,BUY,NaN,32.44396229,600885.SH,-10.43180989,-3.7873654,NaN,NaN,32.45625,20251117,09:39:01,1600
NaN,31.18937644,43695,BUY,NaN,31.24474099,603659.SH,-6.841382629,10.89037801,NaN,NaN,31.21071429,20251117,09:39:01,1400
NaN,67.40659306,134842,BUY,NaN,67.40162967,603799.SH,-2.137319695,-2.873866447,NaN,NaN,67.421,20251117,09:40:01,2000
NaN,35.29335828,172509.4,BUY,NaN,35.2840176,688005.SH,24.75204503,22.11131293,NaN,NaN,35.206,20251117,09:39:01,4900
NaN,31.89452647,73604.6,BUY,NaN,31.89442686,688006.SH,-33.69654426,-33.72787962,NaN,NaN,32.002,20251117,09:40:01,2300
NaN,16.30103385,16302,BUY,NaN,16.3131391,688022.SH,-0.592691945,6.828301065,NaN,NaN,16.302,20251117,09:39:04,1000
NaN,115.2396286,46354,BUY,NaN,115.1328812,688032.SH,-56.00255767,-65.32615241,NaN,NaN,115.885,20251117,09:36:02,400
NaN,6.478803687,24631.6,BUY,NaN,6.486298254,688033.SH,-4.933493009,6.626666839,NaN,NaN,6.482,20251117,09:39:21,3800
NaN,69.63794657,97361.6,BUY,NaN,69.70309213,688063.SH,13.49071566,22.82425786,NaN,NaN,69.544,20251117,09:39:01,1400
NaN,59.36283892,166191.2,BUY,NaN,59.44659475,688116.SH,1.488965896,15.57612424,NaN,NaN,59.354,20251117,09:39:02,2800
NaN,61.84050475,73824,BUY,NaN,61.55561439,688147.SH,51.82764066,5.785726148,NaN,NaN,61.52,20251117,09:39:01,1200
NaN,12.04823785,40976.8,BUY,NaN,12.07651774,688148.SH,-3.122574671,20.30199858,NaN,NaN,12.052,20251117,09:39:01,3400
NaN,61.57153889,37220,BUY,NaN,61.97910889,688155.SH,-75.00128257,-8.748826605,NaN,NaN,62.03333333,20251117,09:37:13,600
NaN,23.55540319,42440,BUY,NaN,23.55540319,688186.SH,-9.498708989,-9.498708989,NaN,NaN,23.57777778,20251117,09:40:01,1800
NaN,6.3812078,214166.4,BUY,NaN,6.387102574,688223.SH,11.2953538,20.51411193,NaN,NaN,6.374,20251117,09:39:01,33600
NaN,102.3414636,62324,BUY,NaN,103.7792159,688275.SH,-149.6822194,-9.069010432,NaN,NaN,103.8733333,20251117,09:37:03,600
NaN,30.49731969,165185.81,BUY,NaN,30.5893065,688303.SH,-30.37812011,-0.215209305,NaN,NaN,30.58996481,20251117,09:39:01,5400
NaN,33.28381835,63285.2,BUY,NaN,33.34583767,688339.SH,-7.265288628,11.34704427,NaN,NaN,33.308,20251117,09:39:01,1900
