Exchange,Instrument,Time,Last,AskPrice,BidPrice,AskVolume,BidVolume,Volume
0,601607.SH,92224000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 8800, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92227000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 8800, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92230000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 9100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92233000,0,"[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12500, 12600, 0, 0, 0, 0, 0, 0, 0, 0]","[12500, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92239000,0,"[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12500, 12600, 0, 0, 0, 0, 0, 0, 0, 0]","[12500, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92245000,0,"[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12500, 12700, 0, 0, 0, 0, 0, 0, 0, 0]","[12500, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92248000,0,"[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12500, 12700, 0, 0, 0, 0, 0, 0, 0, 0]","[12500, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92251000,0,"[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12500, 12700, 0, 0, 0, 0, 0, 0, 0, 0]","[12500, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92254000,0,"[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13100, 12100, 0, 0, 0, 0, 0, 0, 0, 0]","[13100, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92257000,0,"[167500, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167500, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14200, 3000, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92300000,0,"[167500, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167500, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14200, 3000, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92303000,0,"[167500, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167500, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14200, 3000, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92306000,0,"[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18100, 9200, 0, 0, 0, 0, 0, 0, 0, 0]","[18100, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92309000,0,"[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18100, 12000, 0, 0, 0, 0, 0, 0, 0, 0]","[18100, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92312000,0,"[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18100, 12000, 0, 0, 0, 0, 0, 0, 0, 0]","[18100, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92318000,0,"[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18100, 12000, 0, 0, 0, 0, 0, 0, 0, 0]","[18100, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92321000,0,"[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18100, 12700, 0, 0, 0, 0, 0, 0, 0, 0]","[18100, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92327000,0,"[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18100, 12700, 0, 0, 0, 0, 0, 0, 0, 0]","[18100, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
