order_id,order_time,exchange,exchange_name,direction,direction_name,volume,price,ask1,bid1,delta_position
PASSIVE_1159,2024-01-02 11:27:09.000,0,上海,1,买入,300,16.93,16.93,16.92,35100
PASSIVE_1160,2024-01-02 11:28:09.000,0,上海,1,买入,300,16.94,16.95,16.94,35400
PASSIVE_1161,2024-01-02 11:29:09.000,0,上海,1,买入,300,16.94,16.94,16.92,35700
PASSIVE_1162,2024-01-02 11:30:00.000,0,上海,1,买入,300,16.95,16.96,16.94,36000
PASSIVE_MKT_1163,2024-01-02 13:00:00.000,0,上海,1,买入,300,16.96,16.96,16.94,36000
PASSIVE_1164,2024-01-02 13:00:09.000,0,上海,1,买入,300,16.94,16.95,16.94,36300
PASSIVE_1165,2024-01-02 13:01:09.000,0,上海,1,买入,300,16.95,16.95,16.94,36300
PASSIVE_MKT_1166,2024-01-02 13:01:09.000,0,上海,1,买入,300,16.96,16.95,16.94,36600
PASSIVE_1167,2024-01-02 13:02:09.000,0,上海,1,买入,300,16.95,16.95,16.94,36900
PASSIVE_1168,2024-01-02 13:03:09.000,0,上海,1,买入,300,16.95,16.95,16.94,37200
PASSIVE_1169,2024-01-02 13:04:09.000,0,上海,1,买入,300,16.95,16.96,16.94,37500
PASSIVE_1170,2024-01-02 13:05:09.000,0,上海,1,买入,300,16.97,16.99,16.98,37500
PASSIVE_MKT_1171,2024-01-02 13:05:09.000,0,上海,1,买入,300,16.98,16.99,16.98,37500
PASSIVE_1172,2024-01-02 13:06:09.000,0,上海,1,买入,300,16.98,16.99,16.98,37800
PASSIVE_MKT_1173,2024-01-02 13:06:09.000,0,上海,1,买入,300,16.99,16.99,16.98,37800
PASSIVE_1174,2024-01-02 13:07:09.000,0,上海,1,买入,300,16.98,16.99,16.98,38100
PASSIVE_MKT_1175,2024-01-02 13:07:09.000,0,上海,1,买入,300,16.99,16.99,16.98,38100
PASSIVE_1176,2024-01-02 13:08:09.000,0,上海,1,买入,300,17.0,17.0,16.99,38400
PASSIVE_MKT_1177,2024-01-02 13:08:09.000,0,上海,1,买入,300,17.01,17.0,16.99,38700
PASSIVE_1178,2024-01-02 13:09:09.000,0,上海,1,买入,300,17.0,17.01,17.0,39000
PASSIVE_1179,2024-01-02 13:10:09.000,0,上海,1,买入,300,17.0,17.02,17.01,39000
PASSIVE_MKT_1180,2024-01-02 13:10:09.000,0,上海,1,买入,300,17.02,17.02,17.01,39000
PASSIVE_1181,2024-01-02 13:11:09.000,0,上海,1,买入,300,17.0,17.01,17.0,39300
PASSIVE_MKT_1182,2024-01-02 13:11:09.000,0,上海,1,买入,300,17.02,17.01,17.0,39300
PASSIVE_1183,2024-01-02 13:12:09.000,0,上海,1,买入,300,17.03,17.04,17.03,39600
PASSIVE_MKT_1184,2024-01-02 13:12:09.000,0,上海,1,买入,300,17.04,17.04,17.03,39600
PASSIVE_1185,2024-01-02 13:13:09.000,0,上海,1,买入,300,17.03,17.04,17.03,39900
PASSIVE_MKT_1186,2024-01-02 13:13:09.000,0,上海,1,买入,300,17.04,17.04,17.03,39900
PASSIVE_1187,2024-01-02 13:14:09.000,0,上海,1,买入,300,17.03,17.04,17.03,40200
PASSIVE_MKT_1188,2024-01-02 13:14:09.000,0,上海,1,买入,300,17.04,17.04,17.03,40200
PASSIVE_1189,2024-01-02 13:15:09.000,0,上海,1,买入,300,17.02,17.03,17.02,40800
PASSIVE_1190,2024-01-02 13:16:09.000,0,上海,1,买入,300,17.01,17.01,17.0,41100
PASSIVE_1191,2024-01-02 13:17:15.000,0,上海,1,买入,300,17.01,17.01,17.0,41400
PASSIVE_1192,2024-01-02 13:18:09.000,0,上海,1,买入,300,17.01,17.01,17.0,41700
PASSIVE_1193,2024-01-02 13:19:09.000,0,上海,1,买入,300,17.01,17.02,17.0,42000
PASSIVE_1194,2024-01-02 13:20:09.000,0,上海,1,买入,300,17.01,17.01,17.0,42000
PASSIVE_MKT_1195,2024-01-02 13:20:09.000,0,上海,1,买入,300,17.02,17.01,17.0,42300
PASSIVE_1196,2024-01-02 13:21:09.000,0,上海,1,买入,300,17.0,17.01,17.0,42600
PASSIVE_1197,2024-01-02 13:22:09.000,0,上海,1,买入,300,17.0,17.01,17.0,42600
PASSIVE_MKT_1198,2024-01-02 13:22:09.000,0,上海,1,买入,300,17.01,17.01,17.0,42600
PASSIVE_1199,2024-01-02 13:23:12.000,0,上海,1,买入,300,17.0,17.01,17.0,42900
PASSIVE_MKT_1200,2024-01-02 13:23:12.000,0,上海,1,买入,300,17.01,17.01,17.0,42900
PASSIVE_1201,2024-01-02 13:24:09.000,0,上海,1,买入,300,17.01,17.02,17.0,43200
PASSIVE_MKT_1202,2024-01-02 13:24:12.000,0,上海,1,买入,300,17.02,17.02,17.0,43200
PASSIVE_1203,2024-01-02 13:25:09.000,0,上海,1,买入,300,17.01,17.01,17.0,43500
PASSIVE_MKT_1204,2024-01-02 13:25:09.000,0,上海,1,买入,300,17.02,17.01,17.0,43800
PASSIVE_1205,2024-01-02 13:26:09.000,0,上海,1,买入,300,17.03,17.04,17.03,44100
PASSIVE_1206,2024-01-02 13:27:09.000,0,上海,1,买入,300,17.03,17.04,17.03,44100
PASSIVE_MKT_1207,2024-01-02 13:27:09.000,0,上海,1,买入,300,17.04,17.04,17.03,44100
PASSIVE_1208,2024-01-02 13:28:09.000,0,上海,1,买入,300,17.03,17.04,17.03,44400
PASSIVE_MKT_1209,2024-01-02 13:28:09.000,0,上海,1,买入,300,17.04,17.04,17.03,44400
PASSIVE_1210,2024-01-02 13:29:09.000,0,上海,1,买入,300,17.03,17.04,17.03,45000
PASSIVE_1211,2024-01-02 13:30:09.000,0,上海,1,买入,300,17.03,17.04,17.03,45300
PASSIVE_1212,2024-01-02 13:31:09.000,0,上海,1,买入,300,17.03,17.04,17.03,45600
PASSIVE_1213,2024-01-02 13:32:09.000,0,上海,1,买入,300,17.03,17.04,17.03,45600
PASSIVE_MKT_1214,2024-01-02 13:32:09.000,0,上海,1,买入,300,17.04,17.04,17.03,45600
PASSIVE_1215,2024-01-02 13:33:09.000,0,上海,1,买入,300,17.02,17.02,17.0,46200
PASSIVE_1216,2024-01-02 13:34:09.000,0,上海,1,买入,300,17.0,17.01,17.0,46500
PASSIVE_1217,2024-01-02 13:35:09.000,0,上海,1,买入,300,17.01,17.01,17.0,46800
PASSIVE_1218,2024-01-02 13:36:09.000,0,上海,1,买入,300,17.0,17.01,17.0,47100
PASSIVE_1219,2024-01-02 13:37:09.000,0,上海,1,买入,300,17.0,17.01,17.0,47400
PASSIVE_1220,2024-01-02 13:38:09.000,0,上海,1,买入,300,17.0,17.01,17.0,47700
PASSIVE_1221,2024-01-02 13:39:09.000,0,上海,1,买入,300,17.01,17.01,17.0,47700
PASSIVE_MKT_1222,2024-01-02 13:39:09.000,0,上海,1,买入,300,17.02,17.01,17.0,48000
PASSIVE_1223,2024-01-02 13:40:09.000,0,上海,1,买入,300,17.01,17.01,17.0,48300
PASSIVE_1224,2024-01-02 13:41:09.000,0,上海,1,买入,300,17.01,17.01,17.0,48600
PASSIVE_1225,2024-01-02 13:42:09.000,0,上海,1,买入,300,17.01,17.02,17.0,48900
PASSIVE_1226,2024-01-02 13:43:09.000,0,上海,1,买入,300,17.0,17.01,17.0,48900
PASSIVE_MKT_1227,2024-01-02 13:43:09.000,0,上海,1,买入,300,17.01,17.01,17.0,48900
PASSIVE_1228,2024-01-02 13:44:09.000,0,上海,1,买入,300,17.0,17.01,17.0,49200
PASSIVE_MKT_1229,2024-01-02 13:44:09.000,0,上海,1,买入,300,17.01,17.01,17.0,49200
PASSIVE_1230,2024-01-02 13:45:09.000,0,上海,1,买入,300,17.0,17.01,17.0,49500
PASSIVE_MKT_1231,2024-01-02 13:45:09.000,0,上海,1,买入,300,17.01,17.01,17.0,49500
PASSIVE_1232,2024-01-02 13:46:09.000,0,上海,1,买入,300,17.0,17.01,17.0,49800
PASSIVE_MKT_1233,2024-01-02 13:46:09.000,0,上海,1,买入,300,17.01,17.01,17.0,49800
PASSIVE_1234,2024-01-02 13:47:09.000,0,上海,1,买入,300,17.0,17.01,17.0,50400
PASSIVE_1235,2024-01-02 13:48:09.000,0,上海,1,买入,300,16.99,17.0,16.99,50700
PASSIVE_1236,2024-01-02 13:49:09.000,0,上海,1,买入,300,16.98,16.99,16.98,51000
PASSIVE_1237,2024-01-02 13:50:09.000,0,上海,1,买入,300,16.98,17.0,16.98,51300
PASSIVE_1238,2024-01-02 13:51:09.000,0,上海,1,买入,300,16.98,16.99,16.98,51600
PASSIVE_1239,2024-01-02 13:52:09.000,0,上海,1,买入,300,16.98,16.99,16.98,51900
PASSIVE_1240,2024-01-02 13:53:09.000,0,上海,1,买入,300,16.97,16.98,16.96,52200
PASSIVE_1241,2024-01-02 13:54:09.000,0,上海,1,买入,300,16.97,16.97,16.96,52200
PASSIVE_MKT_1242,2024-01-02 13:54:09.000,0,上海,1,买入,300,16.98,16.97,16.96,52500
PASSIVE_1243,2024-01-02 13:55:09.000,0,上海,1,买入,300,16.97,16.97,16.96,52800
PASSIVE_1244,2024-01-02 13:56:09.000,0,上海,1,买入,300,16.97,16.98,16.96,53100
PASSIVE_1245,2024-01-02 13:57:09.000,0,上海,1,买入,300,16.98,16.99,16.98,53100
PASSIVE_MKT_1246,2024-01-02 13:57:09.000,0,上海,1,买入,300,16.99,16.99,16.98,53100
PASSIVE_1247,2024-01-02 13:58:09.000,0,上海,1,买入,300,16.99,17.0,16.99,53400
PASSIVE_MKT_1248,2024-01-02 13:58:09.000,0,上海,1,买入,300,17.0,17.0,16.99,53400
PASSIVE_1249,2024-01-02 13:59:09.000,0,上海,1,买入,300,16.99,17.0,16.99,53700
PASSIVE_MKT_1250,2024-01-02 13:59:09.000,0,上海,1,买入,300,17.0,17.0,16.99,53700
PASSIVE_1251,2024-01-02 14:00:09.000,0,上海,1,买入,300,16.99,17.0,16.99,54300
PASSIVE_1252,2024-01-02 14:01:09.000,0,上海,1,买入,300,16.98,16.99,16.98,54600
PASSIVE_1253,2024-01-02 14:02:09.000,0,上海,1,买入,300,16.98,16.99,16.98,54900
PASSIVE_1254,2024-01-02 14:03:09.000,0,上海,1,买入,300,16.96,16.97,16.96,55200
PASSIVE_1255,2024-01-02 14:04:09.000,0,上海,1,买入,300,16.96,16.97,16.96,55500
PASSIVE_1256,2024-01-02 14:05:09.000,0,上海,1,买入,300,16.95,16.95,16.92,55800
PASSIVE_1257,2024-01-02 14:06:09.000,0,上海,1,买入,300,16.95,16.96,16.92,56100
PASSIVE_1258,2024-01-02 14:07:09.000,0,上海,1,买入,300,16.95,16.95,16.92,56100
